BandId,TestId,TestCode,BandName,BandCode,RangeMin,RangeMax,CustomValue,Severity,StandardReport
1,1,,HbA1c – Optimal,HBA1C_OPTIMAL,0,5,,0,"""Your sugar over the past 2-3 months is in a very healthy range - keep your current diet and routine to maintain this"""
2,1,,HbA1c – Normal,HBA1C_NORMAL,5.1,5.6,,1,"""Your long-term blood sugar is normal - good control; continue healthy eating, activity, and regular checkups"""
3,1,,HbA1c – High Normal,HBA1C_HIGH_NORMAL,5.5,5.6,,2,"""Your HbA1c is at the upper end of normal - monitor regularly and maintain healthy habits to prevent progression"""
4,1,,HbA1c – Pre-Diabetes (Early),HBA1C_PREDIABETES_EARLY,5.7,5.9,,3,"""This range shows early signs of pre-diabetes - small lifestyle changes now can help reverse it"""
5,1,,HbA1c – Pre-Diabetes (Established),HBA1C_PREDIABETES,6,6.4,,4,"""Your HbA1c indicates established pre-diabetes - stronger lifestyle changes and regular monitoring are recommended"""
6,1,,HbA1c – Diabetes (Threshold),HBA1C_DIABETES_THRESHOLD,6.5,6.9,,5,"""This HbA1c meets the diagnostic cutoff for diabetes - please discuss confirmation and next steps with your doctor"""
7,1,,HbA1c – Diabetes (Moderate),HBA1C_DIABETES_MODERATE,7,7.9,,6,"""Your HbA1c suggests moderate diabetes - review medications and lifestyle to prevent complications"""
8,1,,HbA1c – Poor Control,HBA1C_POOR_CONTROL,8,8.9,,7,"""Your HbA1c indicates poor diabetic control - sugar levels need adjustment to avoid long-term risks"""
9,1,,HbA1c – Very Poor Control,HBA1C_VERY_POOR_CONTROL,9,11.9,,8,"""Your long-term sugar level is very high - this increases risk of nerve, kidney, eye and heart issues; medical review needed"""
10,1,,HbA1c – Extremely High Risk,HBA1C_EXTREME,12,100,,9,"""Extremely high HbA1c - your risk of severe complications is very high; urgent medical care is required"""
11,2,,FBS – Hypoglycemia (Severe),FBS_HYPOGLYCEMIA_SEVERE,0,54,,0,"""Your fasting sugar is dangerously low - this can cause fainting or confusion; take fast sugar and get urgent medical help"""
12,2,,FBS – Hypoglycemia (Mild),FBS_HYPOGLYCEMIA_MILD,55,69,,1,"""Your fasting sugar is low - monitor symptoms, adjust food/medication timing and review with your doctor if recurrent"""
13,2,,FBS – Optimal,FBS_OPTIMAL,70,85,,2,"""Your fasting sugar is excellent - shows healthy overnight glucose control; keep maintaining your habits"""
14,2,,FBS – Normal,FBS_NORMAL,86,99,,3,"""Your fasting sugar is normal - good glucose regulation; continue your routine and regular monitoring"""
15,2,,FBS – High Normal,FBS_HIGH_NORMAL,100,109,,4,"""Your fasting sugar is slightly high - monitor diet/activity and recheck to prevent further rise"""
16,2,,FBS – Pre-Diabetes (Early),FBS_PREDIABETES_EARLY,110,119,,5,"""Early fasting pre-diabetes - your body is beginning to struggle with sugar control; lifestyle action now helps"""
17,2,,FBS – Pre-Diabetes (Established),FBS_PREDIABETES,120,125,,6,"""Established fasting pre-diabetes - consistent elevation; diet, exercise and monitoring strongly recommended"""
18,2,,FBS – Diabetes (Threshold),FBS_DIABETES_THRESHOLD,126,139,,7,"""Fasting sugar meets diabetes criteria - follow up with your doctor for diagnosis and management"""
19,2,,FBS – Diabetes (Moderate Elevation),FBS_DIABETES_MODERATE,140,159,,8,"""Moderately elevated fasting sugar - poor control; medical and lifestyle adjustments are recommended"""
20,2,,FBS – Diabetes (Severe Elevation),FBS_DIABETES_SEVERE,160,500,,9,"""Severely elevated fasting sugar - high risk of long-term complications; seek medical care soon"""
21,3,,PPBS – Hypoglycemia (Severe),PPBS_HYPOGLYCEMIA_SEVERE,0,54,,0,"""Your post-meal sugar is dangerously low - take fast sugar and seek urgent medical evaluation"""
22,3,,PPBS – Hypoglycemia (Mild),PPBS_HYPOGLYCEMIA_MILD,55,69,,1,"""Your post-meal sugar is low - may be from delayed meals/medication imbalance; monitor closely"""
23,3,,PPBS – Optimal,PPBS_OPTIMAL,70,119,,2,"""Your post-meal sugar is optimal - strong metabolic control; maintain your habits"""
24,3,,PPBS – Normal,PPBS_NORMAL,120,139,,3,"""Your post-meal sugar is normal - good glucose handling after meals"""
25,3,,PPBS – High Normal,PPBS_HIGH_NORMAL,140,159,,4,"""Your post-meal sugar is slightly high - early warning sign; adjust food portions and meal habits"""
26,3,,PPBS – Pre-Diabetes (Early),PPBS_PREDIABETES_EARLY,160,169,,5,"""Early post-meal pre-diabetes - some difficulty controlling sugar after meals; improve diet/lifestyle"""
27,3,,PPBS – Pre-Diabetes (Established),PPBS_PREDIABETES,170,199,,6,"""Established post-meal pre-diabetes - sugar stays high after eating; lifestyle corrections needed"""
28,3,,PPBS – Diabetes (Threshold),PPBS_DIABETES_THRESHOLD,200,239,,7,"""Your post-meal sugar meets diabetes criteria - please consult your doctor"""
29,3,,PPBS – Diabetes (Moderate Elevation),PPBS_DIABETES_MODERATE,240,299,,8,"""Moderately elevated post-meal sugar - poor control; treatment and lifestyle changes advised"""
30,3,,PPBS – Diabetes (Severe Elevation),PPBS_DIABETES_SEVERE,300,600,,9,"""Severely elevated post-meal sugar - significantly increases complication risk; immediate care advised"""
31,4,,Mean BGL – Hypoglycemia (Severe),MBGL_HYPOGLYCEMIA_SEVERE,0,54,,0,"""Your average glucose is dangerously low - indicates frequent lows; urgent medical evaluation required"""
32,4,,Mean BGL – Hypoglycemia (Mild),MBGL_HYPOGLYCEMIA_MILD,55,69,,1,"""Your average glucose is low - repeated mild lows possible; review medication/meal habits"""
33,4,,Mean BGL – Optimal,MBGL_OPTIMAL,70,99,,2,"""Your average glucose is optimal - excellent overall sugar control"""
34,4,,Mean BGL – Normal,MBGL_NORMAL,100,126,,3,"""Your average glucose is normal - healthy metabolic balance"""
35,4,,Mean BGL – High Normal,MBGL_HIGH_NORMAL,127,139,,4,"""Your average glucose is slightly high - early sign of impaired glucose control; lifestyle changes help"""
36,4,,Mean BGL – Pre-Diabetes (Early),MBGL_PREDIABETES_EARLY,140,154,,5,"""Early pre-diabetic average glucose - insulin resistance may be starting; take preventive action"""
37,4,,Mean BGL – Pre-Diabetes (Established),MBGL_PREDIABETES,155,183,,6,"""Established pre-diabetic average glucose - consistent elevation; lifestyle correction required"""
38,4,,Mean BGL – Diabetes (Threshold),MBGL_DIABETES_THRESHOLD,184,199,,7,"""Your average glucose crosses diabetes cutoff - consult your doctor"""
39,4,,Mean BGL – Diabetes (Poor Control),MBGL_DIABETES_POOR_CONTROL,200,249,,8,"""Poor average glucose control - sustained high levels raise complication risk; treatment review needed"""
40,4,,Mean BGL – Diabetes (Severely Uncontrolled),MBGL_DIABETES_SEVERE,250,500,,9,"""Severely elevated average glucose - uncontrolled diabetes; urgent medical care required"""
41,5,,TSH – Severe Low,TSH_SEVERE_LOW,0,0.09,,0,"""TSH extremely low - strong hyperthyroid activity; urgent assessment recommended"""
42,5,,TSH – Low,TSH_LOW,0.1,0.39,,1,"""TSH low - possible hyperthyroidism; review symptoms with your doctor"""
43,5,,TSH – Normal,TSH_NORMAL,0.4,4,,2,"""TSH normal - healthy thyroid hormone balance"""
44,5,,TSH – Mild High,TSH_MILD_HIGH,4.01,10,,3,"""TSH slightly high - early hypothyroidism; monitoring advised"""
45,5,,TSH – High,TSH_HIGH,10.01,20,,4,"""TSH high - moderate hypothyroidism; treatment may be needed"""
46,5,,TSH – Severe High,TSH_SEVERE_HIGH,20.01,200,,5,"""TSH extremely high - severe hypothyroidism; immediate care advised"""
47,,THY_T3,T3 Total – Critical Low,T3_CRITICAL_LOW,0,0.49,,0,T3 Total critically low - may indicate severe hypothyroidism; urgent evaluation required
48,,THY_T3,T3 Total – Low,T3_LOW,0.5,0.79,,1,T3 Total low - possible hypothyroidism or low hormone conversion; consult your doctor
49,,THY_T3,T3 Total – Normal,T3_NORMAL,0.8,2.1,,2,T3 Total normal - healthy active thyroid hormone levels
50,,THY_T3,T3 Total – High,T3_HIGH,2.11,3.0,,3,T3 Total high - possible hyperthyroidism; review with your doctor
51,,THY_T3,T3 Total – Very High,T3_VERY_HIGH,3.01,10,,4,T3 Total very high - strong thyroid overactivity; urgent evaluation advised
52,,THY_T4,T4 Total – Critical Low,T4_CRITICAL_LOW,0,2.99,,0,T4 Total critically low - severe hypothyroidism suspected; immediate medical review needed
53,,THY_T4,T4 Total – Low,T4_LOW,3.0,4.99,,1,T4 Total low - underactive thyroid suggested; discuss with your doctor
54,,THY_T4,T4 Total – Normal,T4_NORMAL,5.0,14.0,,2,T4 Total normal - healthy thyroid hormone levels
55,,THY_T4,T4 Total – High,T4_HIGH,14.01,20.0,,3,T4 Total high - possible hyperthyroidism or medication adjustment needed
56,,THY_T4,T4 Total – Very High,T4_VERY_HIGH,20.01,50,,4,T4 Total very high - severe hyperthyroidism; urgent assessment required
57,8,,Hemoglobin – Severe Low,HEMOGLOBIN_SEVERE_LOW,0,6.9,,0,"""Hemoglobin critically low - severe anemia; urgent medical care needed"""
58,8,,Hemoglobin – Low,HEMOGLOBIN_LOW,7,11.9,,1,"""Hemoglobin low - anemia likely; may cause fatigue and weakness"""
59,8,,Hemoglobin – Normal,HEMOGLOBIN_NORMAL,12,16.5,,2,"""Hemoglobin normal - healthy oxygen-carrying capacity"""
60,8,,Hemoglobin – High,HEMOGLOBIN_HIGH,16.6,18.5,,3,"""Hemoglobin high - may occur from dehydration or increased red cell production"""
61,8,,Hemoglobin – Very High,HEMOGLOBIN_VERY_HIGH,18.6,25,,4,"""Hemoglobin very high - possible blood disorder or chronic low oxygen; evaluation advised"""
62,9,,RBC – Severe Low,RBC_SEVERE_LOW,0,3.2,,0,"""RBC critically low - severe anemia or bone marrow issue; urgent care needed"""
63,9,,RBC – Low,RBC_LOW,3.3,4.1,,1,"""RBC low - may indicate anemia or nutrient deficiency"""
64,9,,RBC – Normal,RBC_NORMAL,4.2,5.8,,2,"""RBC normal - healthy red cell count"""
65,9,,RBC – High,RBC_HIGH,5.9,6.5,,3,"""RBC high - may be due to dehydration or increased red cell production"""
66,9,,RBC – Very High,RBC_VERY_HIGH,6.6,8,,4,"""RBC very high - may suggest polycythemia or chronic hypoxia; evaluation needed"""
67,10,,WBC – Severe Low,WBC_SEVERE_LOW,0,2,,0,"""WBC critically low - high infection risk; immune suppression suspected"""
68,10,,WBC – Low,WBC_LOW,2.1,3.9,,1,"""WBC low - may indicate viral infection or bone marrow issues"""
69,10,,WBC – Normal,WBC_NORMAL,4,11,,2,"""WBC normal - healthy immune function"""
70,10,,WBC – High,WBC_HIGH,11.1,15,,3,"""WBC high - commonly due to infection or inflammation"""
71,10,,WBC – Very High,WBC_VERY_HIGH,15.1,50,,4,"""WBC very high - severe infection or blood disorder suspected"""
72,11,,Platelets – Severe Low,PLATELET_SEVERE_LOW,0,49000,,0,"""Platelets critically low - high bleeding risk; urgent care advised"""
73,11,,Platelets – Low,PLATELET_LOW,50000,149000,,1,"""Platelets low - may cause easy bruising or bleeding"""
74,11,,Platelets – Normal,PLATELET_NORMAL,150000,450000,,2,"""Platelets normal - healthy clotting function"""
75,11,,Platelets – High,PLATELET_HIGH,450001,600000,,3,"""Platelets high - may occur with inflammation or reactive conditions"""
76,11,,Platelets – Very High,PLATELET_VERY_HIGH,600001,1000000,,4,"""Platelets very high - possible bone marrow disorder; evaluation needed"""
77,12,,MCV – Severe Low,MCV_SEVERE_LOW,0,65,,0,"""MCV critically low - severe iron deficiency or microcytic anemia"""
78,12,,MCV – Low,MCV_LOW,66,79,,1,"""MCV low - common in iron deficiency or thalassemia"""
79,12,,MCV – Normal,MCV_NORMAL,80,100,,2,"""MCV normal - normal red cell size"""
80,12,,MCV – High,MCV_HIGH,101,110,,3,"""MCV high - often due to B12 or folate deficiency"""
81,12,,MCV – Very High,MCV_VERY_HIGH,111,140,,4,"""MCV very high - significant macrocytosis; possible marrow disorder"""
82,13,,MCH – Severe Low,MCH_SEVERE_LOW,0,22,,0,"""MCH critically low - severe hypochromic anemia"""
83,13,,MCH – Low,MCH_LOW,23,26,,1,"""MCH low - common in iron deficiency"""
84,13,,MCH – Normal,MCH_NORMAL,27,33,,2,"""MCH normal - healthy hemoglobin content per red cell"""
85,13,,MCH – High,MCH_HIGH,34,38,,3,"""MCH high - often linked to macrocytic anemia"""
86,13,,MCH – Very High,MCH_VERY_HIGH,39,50,,4,"""MCH very high - abnormal RBC morphology suspected"""
87,14,,MCHC – Severe Low,MCHC_SEVERE_LOW,0,28,,0,"""MCHC critically low - severe iron deficiency or hypochromia"""
88,14,,MCHC – Low,MCHC_LOW,29,31,,1,"""MCHC low - slightly low hemoglobin concentration"""
89,14,,MCHC – Normal,MCHC_NORMAL,32,36,,2,"""MCHC normal - healthy hemoglobin concentration"""
90,14,,MCHC – High,MCHC_HIGH,37,38,,3,"""MCHC high - may occur in spherocytosis or dehydration"""
91,14,,MCHC – Very High,MCHC_VERY_HIGH,39,50,,4,"""MCHC very high - possible RBC membrane disorders"""
92,15,,RDW – Low,RDW_LOW,0,10,,0,"""RDW low - red blood cells are unusually uniform"""
93,15,,RDW – Normal,RDW_NORMAL,11,14.5,,1,"""RDW normal - consistent RBC size distribution"""
94,15,,RDW – High,RDW_HIGH,14.6,20,,2,"""RDW high - often seen in iron deficiency or mixed anemia"""
95,15,,RDW – Very High,RDW_VERY_HIGH,20.1,30,,3,"""RDW very high - large variation in RBC size; further evaluation needed"""
96,16,,Neutrophils – Severe Low,NEUTROPHILS_SEVERE_LOW,0,29,,0,"""Neutrophils very low - severe infection risk"""
97,16,,Neutrophils – Low,NEUTROPHILS_LOW,30,39,,1,"""Neutrophils low - may be due to viral infection or marrow suppression"""
98,16,,Neutrophils – Normal,NEUTROPHILS_NORMAL,40,75,,2,"""Neutrophils normal - healthy immune response"""
99,16,,Neutrophils – High,NEUTROPHILS_HIGH,76,85,,3,"""Neutrophils high - suggests bacterial infection or inflammation"""
100,16,,Neutrophils – Very High,NEUTROPHILS_VERY_HIGH,86,100,,4,"""Neutrophils very high - severe infection or stress response"""
101,17,,Lymphocytes – Severe Low,LYMPHOCYTES_SEVERE_LOW,0,9,,0,"""Lymphocytes very low - high infection susceptibility"""
102,17,,Lymphocytes – Low,LYMPHOCYTES_LOW,10,19,,1,"""Lymphocytes low - may occur during acute infection or stress"""
103,17,,Lymphocytes – Normal,LYMPHOCYTES_NORMAL,20,40,,2,"""Lymphocytes normal - healthy immune function"""
104,17,,Lymphocytes – High,LYMPHOCYTES_HIGH,41,55,,3,"""Lymphocytes high - may indicate viral infection or inflammation"""
105,17,,Lymphocytes – Very High,LYMPHOCYTES_VERY_HIGH,56,90,,4,"""Lymphocytes very high - may suggest lymphoproliferative disorders."""
