Record,PanelId,PanelCode,PanelRuleCode,PanelRuleName,MinSeverity,MaxSeverity,RevisedSummary,SummaryVariantCode
1,1,DIA,DIA_NORMAL,Normal Glycemic Profile,0,1,"Your blood sugar levels are within the normal limits, suggesting effective glucose regulation and stable metabolic balance. Continuing healthy habits such as a balanced diet, proper hydration, adequate sleep, and regular physical activity will help maintain this favorable state.",
2,1,DIA,DIA_NORMAL,Normal Glycemic Profile,0,1,"The current blood sugar results fall within the healthy range, indicating that your body is managing glucose efficiently. Maintaining consistent lifestyle practices like nutritious eating, good sleep patterns, hydration, and physical exercise will support ongoing metabolic stability.",
3,1,DIA,DIA_NORMAL,Normal Glycemic Profile,0,1,"Your glucose values are within the expected normal range, reflecting healthy metabolic function and proper glucose control. Sustaining a balanced lifestyle with good nutrition, sufficient rest, hydration, and physical activity can help preserve this optimal condition.",
4,1,DIA,DIA_NORMAL,Normal Glycemic Profile,0,1,"The findings show that your blood sugar levels are normal and your glucose metabolism appears well regulated. Adopting healthy daily habits including balanced meals, proper hydration, quality sleep, and regular exercise will help maintain these results.",
5,1,DIA,DIA_NORMAL,Normal Glycemic Profile,0,1,"Your test results indicate that blood glucose levels are within a healthy range, suggesting stable metabolic control. Continuing with a balanced diet, good sleep, hydration, and regular physical activity can help keep your glucose levels well maintained.",
6,1,DIA,DIA_NORMAL,Normal Glycemic Profile,0,1,"The current glucose measurements fall within the normal reference range, indicating healthy sugar metabolism. Maintaining positive lifestyle habits such as balanced nutrition, proper rest, hydration, and consistent exercise can support continued metabolic balance.",
7,1,DIA,DIA_NORMAL,Normal Glycemic Profile,0,1,"Blood sugar levels appear well controlled and remain within the normal range. Following a healthy lifestyle that includes balanced nutrition, sufficient sleep, hydration, and regular physical activity will help maintain this stable metabolic state.",
8,1,DIA,DIA_NORMAL,Normal Glycemic Profile,0,1,"Your glycemic profile is within the expected healthy range, reflecting efficient glucose regulation. Continuing healthy routines such as balanced eating, adequate sleep, hydration, and regular physical activity will help sustain this optimal metabolic balance.",
9,1,DIA,DIA_NORMAL,Normal Glycemic Profile,0,1,"The results suggest that your blood sugar levels are stable and within the normal range. Maintaining a healthy routine including balanced nutrition, sufficient rest, hydration, and physical activity can help preserve this positive metabolic status.",
10,1,DIA,DIA_NORMAL,Normal Glycemic Profile,0,1,"Your glucose levels fall within the recommended range, indicating effective glucose management and metabolic stability. Continuing healthy lifestyle practices such as balanced diet, good sleep, proper hydration, and physical exercise will support long-term glucose control.",
11,2,DIA,DIA_BORDERLINE,Borderline Glycemic Pattern,2,2,Your blood sugar levels are mildly elevated compared to the normal range but do not currently meet the criteria for pre-diabetes. Such changes are often associated with lifestyle patterns such as limited physical activity or higher sugar consumption. Regular monitoring and healthy lifestyle modifications are advised to prevent further progression,
12,2,DIA,DIA_BORDERLINE,Borderline Glycemic Pattern,2,2,"The glucose results are slightly higher than the ideal range, though they do not yet indicate a pre-diabetic condition. This pattern is commonly related to lifestyle factors including decreased physical activity or increased sugar intake. Maintaining healthy habits and monitoring glucose levels can help prevent worsening.",
13,2,DIA,DIA_BORDERLINE,Borderline Glycemic Pattern,2,2,Your glucose levels show a mild elevation above the normal range but remain below the threshold for pre-diabetes. Lifestyle factors such as sedentary routines or excessive sugar intake may contribute to these changes. Preventive lifestyle improvements and regular monitoring are recommended.,
14,2,DIA,DIA_BORDERLINE,Borderline Glycemic Pattern,2,2,"A slight increase in blood sugar levels is observed, though it does not currently suggest pre-diabetes. This stage may be influenced by lifestyle factors like reduced exercise or dietary habits high in sugar. Early lifestyle adjustments and periodic monitoring can help maintain healthy glucose levels.",
15,2,DIA,DIA_BORDERLINE,Borderline Glycemic Pattern,2,2,The current results indicate mildly elevated glucose levels that remain short of the pre-diabetes range. Such findings are often linked to lifestyle influences such as limited physical activity or high sugar consumption. Monitoring your glucose and adopting healthier habits may help prevent progression.,
16,2,DIA,DIA_BORDERLINE,Borderline Glycemic Pattern,2,2,Your glucose readings are somewhat higher than the recommended range but do not yet indicate pre-diabetes. This early shift may be associated with lifestyle patterns including inactivity or higher sugar intake. Preventive measures and continued monitoring are advisable.,
17,2,DIA,DIA_BORDERLINE,Borderline Glycemic Pattern,2,2,"The test results show a slight rise in glucose levels above the normal range, although they do not currently suggest pre-diabetes. Lifestyle factors such as decreased activity levels or dietary sugar intake may play a role. Monitoring and proactive lifestyle changes are recommended.",
18,2,DIA,DIA_BORDERLINE,Borderline Glycemic Pattern,2,2,Blood sugar values are mildly elevated but remain below the diagnostic threshold for pre-diabetes. This stage may be influenced by lifestyle habits such as limited physical activity or increased sugar consumption. Early lifestyle improvements and regular monitoring can help prevent further increase.,
19,2,DIA,DIA_BORDERLINE,Borderline Glycemic Pattern,2,2,"A minor elevation in glucose levels is present, though it has not yet reached the pre-diabetic range. This condition is often related to lifestyle factors such as reduced exercise or excessive sugar intake. Preventive lifestyle measures and monitoring are advised.",
20,2,DIA,DIA_BORDERLINE,Borderline Glycemic Pattern,2,2,Your glucose values are slightly above the normal limits but still fall short of the pre-diabetes threshold. Such changes may reflect lifestyle influences including reduced activity or higher sugar consumption. Regular monitoring and healthy lifestyle adjustments are recommended to prevent progression.,
21,3,DIA,DIA_PRE_EARLY,Early Pre-Diabetes,3,3,"The results indicate early signs of impaired glucose tolerance. This stage reflects the initial development of insulin resistance in the body. With timely lifestyle modifications including healthier dietary choices and regular physical activity, these changes can often be reversed.",
22,3,DIA,DIA_PRE_EARLY,Early Pre-Diabetes,3,3,"Your glucose profile suggests the early phase of impaired glucose regulation. At this stage, the body may begin showing early insulin resistance. Adopting healthy lifestyle habits such as balanced nutrition and consistent physical activity can help restore normal glucose control.",
23,3,DIA,DIA_PRE_EARLY,Early Pre-Diabetes,3,3,"Findings show early indications of reduced glucose tolerance. This phase represents the beginning of insulin resistance within the body. With prompt lifestyle adjustments including improved diet and regular exercise, this condition can often be reversed.",
24,3,DIA,DIA_PRE_EARLY,Early Pre-Diabetes,3,3,The current results suggest early impairment in glucose tolerance. This stage marks the onset of insulin resistance. Positive lifestyle changes such as healthier eating patterns and regular physical activity can help reverse this early metabolic change.,
25,3,DIA,DIA_PRE_EARLY,Early Pre-Diabetes,3,3,"Your test results indicate the early development of impaired glucose tolerance. This is typically the stage where insulin resistance begins to emerge. With timely dietary improvements and increased physical activity, glucose regulation can often return to normal.",
26,3,DIA,DIA_PRE_EARLY,Early Pre-Diabetes,3,3,"Initial signs of glucose intolerance are observed, suggesting the beginning of insulin resistance. Early intervention through healthier diet choices and regular exercise can significantly improve glucose metabolism and may reverse this stage.",
27,3,DIA,DIA_PRE_EARLY,Early Pre-Diabetes,3,3,The glycemic profile shows early disruption in glucose tolerance. This stage represents the first phase of developing insulin resistance. Implementing lifestyle changes such as balanced nutrition and consistent physical activity may help restore normal metabolic function.,
28,3,DIA,DIA_PRE_EARLY,Early Pre-Diabetes,3,3,"Your results suggest the early onset of impaired glucose tolerance, which can be an early indicator of insulin resistance. With proactive lifestyle measures including improved diet and regular exercise, this condition can often be reversed.",
29,3,DIA,DIA_PRE_EARLY,Early Pre-Diabetes,3,3,"Mild impairment in glucose tolerance is detected, indicating the early development of insulin resistance. Timely lifestyle changes, including healthier dietary habits and physical activity, can help restore proper glucose regulation.",
30,3,DIA,DIA_PRE_EARLY,Early Pre-Diabetes,3,3,"The findings indicate early metabolic changes affecting glucose tolerance. This stage reflects the beginning of insulin resistance within the body. With proper lifestyle modifications such as improved diet and regular exercise, these changes are often reversible.",
31,4,DIA,DIA_PREDIABETES,Pre-Diabetes (Established),4,4,"Your test results place you within the pre-diabetic range. Blood sugar levels are elevated above normal, suggesting reduced insulin sensitivity. If not addressed, this condition may progress to diabetes. Adopting a structured lifestyle plan and monitoring glucose levels regularly is strongly recommended.",
32,4,DIA,DIA_PREDIABETES,Pre-Diabetes (Established),4,4,"The findings indicate that your glucose levels fall within the established pre-diabetic category. Elevated sugar levels suggest decreased responsiveness to insulin. Without timely lifestyle intervention, there is a risk of progression to diabetes. Regular monitoring and a structured health plan are advised.",
33,4,DIA,DIA_PREDIABETES,Pre-Diabetes (Established),4,4,"Your glucose profile is consistent with pre-diabetes. Blood sugar levels are higher than normal, reflecting early metabolic changes related to insulin resistance. Without corrective lifestyle measures, this condition may advance to diabetes. A planned lifestyle approach and routine monitoring are recommended.",
34,4,DIA,DIA_PREDIABETES,Pre-Diabetes (Established),4,4,"The results suggest that you are currently within the pre-diabetic range. Elevated glucose levels indicate reduced insulin sensitivity. Without appropriate lifestyle adjustments, this stage may develop into diabetes. A structured diet, physical activity, and regular monitoring are strongly encouraged.",
35,4,DIA,DIA_PREDIABETES,Pre-Diabetes (Established),4,4,"Your current test results indicate established pre-diabetes. Blood sugar levels exceed the normal range and may reflect reduced insulin effectiveness. Without intervention, this stage may progress toward diabetes. Consistent lifestyle management and periodic glucose monitoring are recommended.",
36,4,DIA,DIA_PREDIABETES,Pre-Diabetes (Established),4,4,"The glycemic profile places you in the pre-diabetic category. Higher-than-normal blood sugar levels suggest early insulin resistance. If left unmanaged, this condition can progress to diabetes. Lifestyle improvement and regular health monitoring are important at this stage.",
37,4,DIA,DIA_PREDIABETES,Pre-Diabetes (Established),4,4,"Your blood sugar readings fall within the pre-diabetic range, indicating decreased insulin sensitivity. Without appropriate preventive measures, this stage may eventually lead to diabetes. Implementing a structured lifestyle plan and monitoring glucose levels regularly is advisable.",
38,4,DIA,DIA_PREDIABETES,Pre-Diabetes (Established),4,4,"Results show elevated glucose levels consistent with pre-diabetes. This suggests the body may not be responding to insulin as effectively as expected. Without intervention, progression to diabetes is possible. Lifestyle modifications and periodic monitoring are strongly recommended.",
39,4,DIA,DIA_PREDIABETES,Pre-Diabetes (Established),4,4,"The current findings indicate that your blood sugar levels are in the pre-diabetic range. This condition reflects reduced insulin sensitivity and increased metabolic risk. Without lifestyle changes, there is potential for progression to diabetes. Structured lifestyle adjustments and regular monitoring are advised.",
40,4,DIA,DIA_PREDIABETES,Pre-Diabetes (Established),4,4,"Your glucose results indicate established pre-diabetes. Blood sugar levels are above the normal range, suggesting decreased insulin efficiency. If left unaddressed, this stage may progress to diabetes. A disciplined lifestyle approach and routine monitoring are recommended.",
41,5,DIA,DIA_DM_THRESHOLD,Diabetes Threshold Stage,5,5,Your test results meet the diagnostic threshold for diabetes. Blood sugar levels are elevated to a degree that indicates diabetic changes. Consultation with a physician for confirmation and early treatment planning is recommended.,
42,5,DIA,DIA_DM_THRESHOLD,Diabetes Threshold Stage,5,5,"The current findings meet the clinical criteria used to diagnose diabetes. Glucose levels are consistently elevated, suggesting the presence of diabetic changes. Medical confirmation and early management planning are advised.",
43,5,DIA,DIA_DM_THRESHOLD,Diabetes Threshold Stage,5,5,Your glucose values fall within the diagnostic range for diabetes. These levels indicate sustained elevation of blood sugar consistent with diabetic conditions. A physician consultation for confirmation and treatment guidance is recommended.,
44,5,DIA,DIA_DM_THRESHOLD,Diabetes Threshold Stage,5,5,The results indicate that your blood sugar levels meet the threshold used to identify diabetes. Persistent elevation of glucose suggests diabetic metabolic changes. Medical evaluation and early treatment planning are recommended.,
45,5,DIA,DIA_DM_THRESHOLD,Diabetes Threshold Stage,5,5,Your laboratory findings satisfy the criteria used to diagnose diabetes. Elevated glucose levels indicate that diabetic changes may already be present. A physician𠏋 evaluation and timely treatment planning are strongly advised.,
46,5,DIA,DIA_DM_THRESHOLD,Diabetes Threshold Stage,5,5,The current glucose readings meet the established diagnostic criteria for diabetes. Blood sugar levels are sufficiently elevated to suggest diabetic changes. Follow-up with a healthcare professional for confirmation and management planning is recommended.,
47,5,DIA,DIA_DM_THRESHOLD,Diabetes Threshold Stage,5,5,Your blood sugar levels have reached the threshold commonly used for diabetes diagnosis. These elevated readings suggest the presence of diabetic metabolic changes. Medical consultation and early treatment planning are advisable.,
48,5,DIA,DIA_DM_THRESHOLD,Diabetes Threshold Stage,5,5,The results indicate glucose levels consistent with the diagnostic threshold for diabetes. Persistent elevation in blood sugar suggests diabetic changes may be developing. Physician consultation and early treatment planning are recommended.,
49,5,DIA,DIA_DM_THRESHOLD,Diabetes Threshold Stage,5,5,Your test results fall within the range that meets the diagnostic criteria for diabetes. Sustained high glucose levels indicate diabetic metabolic alterations. Confirmation with a healthcare provider and early management planning are recommended.,
50,5,DIA,DIA_DM_THRESHOLD,Diabetes Threshold Stage,5,5,The findings suggest that blood sugar levels meet the clinical threshold for diabetes. These elevated readings indicate significant changes in glucose metabolism. Consultation with a physician and prompt treatment planning are recommended.,
51,6,DIA,DIA_DM_MODERATE,Diabetes Mild to Moderate,6,6,"Your glucose results suggest the presence of mild to moderate diabetes. These findings indicate some difficulty in maintaining stable blood sugar control. Appropriate treatment planning, lifestyle modification, and regular medical follow-up are important to prevent long-term complications.",
52,6,DIA,DIA_DM_MODERATE,Diabetes Mild to Moderate,6,6,"The current glucose profile is consistent with mild to moderate diabetes. This reflects ongoing challenges in keeping blood sugar levels well regulated. A structured treatment plan, healthy lifestyle changes, and routine medical monitoring are recommended.",
53,6,DIA,DIA_DM_MODERATE,Diabetes Mild to Moderate,6,6,"Your blood sugar levels indicate mild to moderate diabetic changes. This suggests that glucose regulation may not be fully controlled. Proper treatment planning, lifestyle improvements, and regular follow-up evaluations are important to reduce the risk of complications.",
54,6,DIA,DIA_DM_MODERATE,Diabetes Mild to Moderate,6,6,"The test results indicate mild to moderate diabetes. These findings suggest some instability in blood sugar regulation. Medical guidance, lifestyle adjustments, and consistent follow-up care are necessary to maintain better glucose control.",
55,6,DIA,DIA_DM_MODERATE,Diabetes Mild to Moderate,6,6,"Your results are consistent with mild to moderate diabetes, indicating ongoing challenges in glucose regulation. Effective treatment planning combined with lifestyle changes and routine monitoring can help manage this condition and prevent complications.",
56,6,DIA,DIA_DM_MODERATE,Diabetes Mild to Moderate,6,6,"Blood sugar levels suggest the presence of mild to moderate diabetes. This indicates that maintaining stable glucose control may currently be difficult. Treatment planning, lifestyle improvements, and regular health monitoring are essential for effective management.",
57,6,DIA,DIA_DM_MODERATE,Diabetes Mild to Moderate,6,6,"The glycemic profile reflects mild to moderate diabetes, suggesting reduced stability in blood sugar control. A structured care plan that includes lifestyle changes and regular medical follow-up is important to prevent disease progression.",
58,6,DIA,DIA_DM_MODERATE,Diabetes Mild to Moderate,6,6,"Your glucose readings fall within the range associated with mild to moderate diabetes. These findings indicate ongoing difficulty in maintaining optimal blood sugar levels. Medical treatment planning, lifestyle modification, and regular follow-up are strongly advised.",
59,6,DIA,DIA_DM_MODERATE,Diabetes Mild to Moderate,6,6,"The results indicate mild to moderate diabetes with some instability in glucose regulation. Appropriate treatment strategies, lifestyle adjustments, and consistent monitoring can help manage the condition and reduce the risk of complications.",
60,6,DIA,DIA_DM_MODERATE,Diabetes Mild to Moderate,6,6,"Your blood sugar results are consistent with mild to moderate diabetes. This suggests that glucose levels are not being fully regulated. Treatment planning, healthy lifestyle practices, and routine medical follow-up are essential for effective disease management.",
61,7,DIA,DIA_DM_POOR,Diabetes Poor Control,7,7,"Your results indicate poor diabetic control. Insulin regulation appears significantly impaired at this stage. Careful medication management, regular monitoring, and close medical supervision are recommended to prevent long-term complications.",
62,7,DIA,DIA_DM_POOR,Diabetes Poor Control,7,7,"The current findings suggest inadequate diabetes control. Blood sugar regulation is significantly affected, indicating reduced insulin effectiveness. Medication review, frequent monitoring, and medical guidance are essential to reduce the risk of complications.",
63,7,DIA,DIA_DM_POOR,Diabetes Poor Control,7,7,"Your glucose profile reflects poor diabetes control. Insulin function appears compromised, making stable blood sugar regulation difficult. Medication adjustments, routine monitoring, and continued medical supervision are strongly advised.",
64,7,DIA,DIA_DM_POOR,Diabetes Poor Control,7,7,"The results indicate poorly controlled diabetes. At this stage, insulin regulation may be significantly impaired. Careful treatment adjustment, regular glucose monitoring, and close medical follow-up are necessary to avoid complications.",
65,7,DIA,DIA_DM_POOR,Diabetes Poor Control,7,7,"Your blood sugar levels suggest poor diabetic management. The body's ability to regulate glucose through insulin is notably reduced. Medication evaluation, consistent monitoring, and physician supervision are important for better control.",
66,7,DIA,DIA_DM_POOR,Diabetes Poor Control,7,7,"The current glucose readings show poor diabetes control, suggesting significant impairment in insulin regulation. Medical treatment adjustments, regular monitoring, and close healthcare supervision are recommended.",
67,7,DIA,DIA_DM_POOR,Diabetes Poor Control,7,7,"Your test results indicate that diabetes is currently not well controlled. Insulin regulation appears to be significantly affected. Ongoing medical supervision, medication adjustments, and regular monitoring are important to reduce health risks.",
68,7,DIA,DIA_DM_POOR,Diabetes Poor Control,7,7,"The findings suggest poor glycemic control. Insulin response may be significantly impaired, making it difficult to maintain stable glucose levels. Careful medical management and regular monitoring are required to prevent complications.",
69,7,DIA,DIA_DM_POOR,Diabetes Poor Control,7,7,"Your results reflect poorly controlled diabetes with reduced effectiveness of insulin regulation. Medication adjustments, frequent glucose monitoring, and close medical care are necessary to prevent long-term complications.",
70,7,DIA,DIA_DM_POOR,Diabetes Poor Control,7,7,"The glucose profile indicates poor diabetic control, suggesting significant difficulty in insulin-mediated glucose regulation. Continued medical supervision, treatment adjustments, and regular monitoring are essential to manage the condition effectively.",
71,8,DIA,DIA_DM_VERY_POOR,Diabetes Very Poor Control,8,8,"Your blood sugar levels are significantly elevated, suggesting very poor diabetes control. At this stage, the body's ability to regulate glucose is severely impaired, increasing the risk of complications affecting nerves, kidneys, eyes, and the heart. Immediate medical evaluation and strict diabetes management are strongly advised.",
72,8,DIA,DIA_DM_VERY_POOR,Diabetes Very Poor Control,8,8,"The current results show markedly elevated blood sugar levels, indicating very poor diabetic control. Glucose regulation is significantly compromised, raising the likelihood of complications such as nerve damage, kidney disease, vision problems, and cardiovascular issues. Prompt medical attention and intensive management are recommended.",
73,8,DIA,DIA_DM_VERY_POOR,Diabetes Very Poor Control,8,8,"Your glucose profile indicates severely elevated blood sugar levels consistent with very poor diabetes control. The body's ability to manage glucose effectively is greatly reduced, increasing the risk of complications involving the nerves, kidneys, eyes, and heart. Immediate medical review and strict treatment measures are necessary.",
74,8,DIA,DIA_DM_VERY_POOR,Diabetes Very Poor Control,8,8,"The findings suggest severe elevation in blood sugar levels and very poor diabetic control. At this stage, glucose regulation is significantly impaired, increasing the potential for serious complications affecting multiple organs. Urgent medical consultation and strict diabetes management are strongly recommended.",
75,8,DIA,DIA_DM_VERY_POOR,Diabetes Very Poor Control,8,8,"Your results indicate very high blood sugar levels, reflecting very poor control of diabetes. The body may struggle to regulate glucose properly, which can significantly increase the risk of complications such as nerve damage, kidney problems, vision impairment, and heart disease. Immediate medical supervision is advised.",
76,8,DIA,DIA_DM_VERY_POOR,Diabetes Very Poor Control,8,8,"The current glucose readings are severely elevated, suggesting very poor diabetes management. Such levels may place you at higher risk for complications involving nerves, kidneys, vision, and cardiovascular health. Immediate medical review and intensive treatment planning are strongly recommended.",
77,8,DIA,DIA_DM_VERY_POOR,Diabetes Very Poor Control,8,8,"Your blood sugar results show severe elevation consistent with very poor diabetic control. Glucose regulation appears significantly impaired, increasing the likelihood of serious health complications. Prompt medical evaluation and strict management of diabetes are essential.",
78,8,DIA,DIA_DM_VERY_POOR,Diabetes Very Poor Control,8,8,"The test results indicate significantly elevated blood sugar levels and very poor glycemic control. At this stage, the body's ability to regulate glucose is compromised, raising the risk of long-term complications affecting vital organs. Immediate medical attention and structured diabetes management are recommended.",
79,8,DIA,DIA_DM_VERY_POOR,Diabetes Very Poor Control,8,8,"Your glucose levels are considerably higher than recommended, indicating very poor diabetes control. This condition increases the risk of complications involving nerves, kidneys, eyesight, and cardiovascular health. Urgent medical consultation and strict glucose management are strongly advised.",
80,8,DIA,DIA_DM_VERY_POOR,Diabetes Very Poor Control,8,8,The findings show severely elevated blood sugar levels suggesting very poor diabetic control. Impaired glucose regulation at this stage may lead to complications affecting several organ systems. Immediate medical review and comprehensive diabetes management are essential.,
81,9,DIA,DIA_DM_CRITICAL,Diabetes Critical Hyperglycemia,9,9,"Your glucose levels are extremely elevated, indicating a potentially critical metabolic condition. Such levels significantly increase the risk of serious complications including diabetic ketoacidosis or hyperosmolar hyperglycemic state. Immediate medical evaluation and urgent treatment are required.",
82,9,DIA,DIA_DM_CRITICAL,Diabetes Critical Hyperglycemia,9,9,"The current results show dangerously high blood sugar levels, suggesting a critical diabetic state. These levels may lead to severe complications such as diabetic ketoacidosis or hyperosmolar hyperglycemic syndrome. Urgent medical attention is strongly recommended.",
83,9,DIA,DIA_DM_CRITICAL,Diabetes Critical Hyperglycemia,9,9,Your blood sugar levels are critically high and may indicate a serious metabolic emergency. This stage carries an increased risk of conditions such as diabetic ketoacidosis or hyperosmolar hyperglycemic state. Immediate medical care is essential.,
84,9,DIA,DIA_DM_CRITICAL,Diabetes Critical Hyperglycemia,9,9,"The glucose readings are dangerously elevated, indicating a potentially life-threatening diabetic condition. Such levels may result in acute complications including diabetic ketoacidosis or hyperosmolar hyperglycemia. Immediate medical intervention is required.",
85,9,DIA,DIA_DM_CRITICAL,Diabetes Critical Hyperglycemia,9,9,Your results indicate critically high glucose levels that may represent a severe diabetic emergency. These levels are associated with a high risk of complications such as diabetic ketoacidosis or hyperosmolar hyperglycemic state. Prompt medical treatment is urgently needed.,
86,9,DIA,DIA_DM_CRITICAL,Diabetes Critical Hyperglycemia,9,9,"The findings show extremely elevated blood sugar levels, suggesting a critical diabetic condition. Without urgent medical intervention, complications such as diabetic ketoacidosis or hyperosmolar hyperglycemia may occur. Immediate clinical care is required.",
87,9,DIA,DIA_DM_CRITICAL,Diabetes Critical Hyperglycemia,9,9,Your glucose levels are severely elevated and may represent a medical emergency. This stage is associated with a high risk of acute complications including diabetic ketoacidosis or hyperosmolar hyperglycemic syndrome. Immediate medical attention is essential.,
88,9,DIA,DIA_DM_CRITICAL,Diabetes Critical Hyperglycemia,9,9,The results indicate dangerously high blood sugar levels consistent with a potentially critical diabetic state. Such levels may lead to severe metabolic complications if not treated promptly. Urgent medical care is strongly advised.,
89,9,DIA,DIA_DM_CRITICAL,Diabetes Critical Hyperglycemia,9,9,"Your glucose profile shows critically elevated blood sugar levels, indicating a high-risk diabetic condition. This stage may lead to serious complications such as diabetic ketoacidosis or hyperosmolar hyperglycemic crisis. Immediate medical evaluation is necessary.",
90,9,DIA,DIA_DM_CRITICAL,Diabetes Critical Hyperglycemia,9,9,The current findings reveal extremely high glucose levels that may represent a life-threatening diabetic condition. The risk of severe complications such as diabetic ketoacidosis or hyperosmolar hyperglycemic state is significantly increased. Urgent medical treatment is required.,
